t,trade_side,trade_px,mid_pre,mid_post,realized_spread,adverse_selection
44727,1,67.05863655195618,67.10863655195618,67.11342978698245,0.054793235026266984,-0.0047932350262698264
44734,1,67.19753773525748,67.24753773525748,67.239156735786,0.041619000528513084,0.008380999471484074
44736,-1,67.30179135915377,67.25179135915377,67.27226329970985,0.02952805944391912,0.02047194055607804
44748,1,67.30915192816511,67.3591519281651,67.39520726542244,0.08605533725733494,-0.03605533725733778
44749,1,67.34520726542245,67.39520726542244,67.3668537967198,0.021646531297349725,0.028353468702647433
44753,1,67.38128685321014,67.43128685321014,67.42759724749348,0.046310394283338496,0.0036896057166586615
44756,-1,67.46866682068386,67.41866682068387,67.4282621832039,0.040404637479966254,0.009595362520030903
44757,1,67.3782621832039,67.4282621832039,67.45066336413007,0.07240118092616399,-0.02240118092616683
44758,1,67.40066336413007,67.45066336413007,67.45404894281577,0.05338557868570604,-0.0033855786857088788
44759,1,67.40404894281578,67.45404894281577,67.43973958340257,0.035690640586793165,0.014309359413203993
44760,-1,67.48973958340257,67.43973958340257,67.47742075204805,0.012318831354519943,0.037681168645477214
44761,-1,67.52742075204804,67.47742075204805,67.49701383832756,0.03040691372048343,0.019593086279513727
44765,1,67.52741574737107,67.57741574737106,67.56686046315735,0.0394447157862885,0.01055528421370866
44769,-1,67.63239778550584,67.58239778550585,67.61219023575363,0.020207549752214504,0.029792450247782654
44772,-1,67.70740354730812,67.65740354730812,67.64363125493287,0.06377229237524773,-0.013772292375250572
44773,1,67.59363125493287,67.64363125493287,67.67432165533255,0.0806904003996749,-0.030690400399677742
44775,-1,67.75164599767251,67.70164599767251,67.68447865427248,0.06716734340002972,-0.017167343400032564
44778,1,67.6756897715518,67.7256897715518,67.76259837505292,0.08690860350111507,-0.03690860350111791
44782,-1,67.87068500075024,67.82068500075025,67.83371361547007,0.03697138528016808,0.01302861471982908
44788,1,67.86658262132184,67.91658262132184,67.92650689886727,0.05992427754543428,-0.009924277545437121
44790,-1,67.96220479149676,67.91220479149676,67.9204564934149,0.041748298081856205,0.008251701918140952
44791,1,67.8704564934149,67.9204564934149,67.93706391620596,0.06660742279105136,-0.016607422791054205
44793,-1,67.97385914058736,67.92385914058737,67.95544085213147,0.018418288455890774,0.03158171154410638
44794,-1,68.00544085213147,67.95544085213147,67.92625547244441,0.07918537968706119,-0.029185379687064028
44797,1,67.88247852651546,67.93247852651545,67.95239422782608,0.06991570131062019,-0.019915701310623035
44798,-1,68.00239422782607,67.95239422782608,67.98060897056922,0.021785257256851764,0.028214742743145393
44805,-1,68.02326759748824,67.97326759748825,67.99413724698462,0.029130350503621116,0.02086964949637604
44806,-1,68.04413724698462,67.99413724698462,68.05632279553168,-0.012185548547066105,0.06218554854706326
44808,-1,68.10888342152724,68.05888342152724,68.04294133396178,0.06594208756546038,-0.015942087565463225
44812,-1,68.17420048095136,68.12420048095136,68.19713121184957,-0.022930730898210072,0.07293073089820723
